Le paso la guía para vacunados GUIA PARA PACIENTES VACUNADOS Dr Pablo Murillas   +50599385845 Si ya te vacunaste por cualquier razón que sea por miedo o por ignorancia o por ambas y tienes síntomas debes hacer los protocolos sólo que en este caso tienes que ser más agresivo tienes que hacer la fase dos de una vez y agregarle al tratamiento acetilcisteína 600 mg diarios por 15 días para eliminar metales pesados   Siga estas recomendaciones Si los pacientes que se vacunan tienen síntomas como :   Dolor de cabeza   Malestar general   Dolor y / o carraspera en garganta   Tos seca Fiebre   Rinorrea   Pérdida del gusto   Pérdida del olfato   Dolor en articulaciones ,   Sensación de debilidad , cansancio , fatiga , sin ganas de hacer cosas .   Debe comenzar protocolo general del dr Pablo A Murillas para tratar covid - 19 según síntomas TODA PERSONA QUE SE VACUNE DEBE TOMAR   N acetilcisteína 600 mg por lo Menos - 2 semanas .   Zinc de 50 mg   Vitamina C   Vitamina D   Cardioaspirina ANÁLISIS PARA PACIENTES VACUNADOS    HEMOGRAMA   TGO TGP   PT PTT   FERRATINA   DIMERO D   GLICEMIA , TRIGLICERIDOS Y COLESTEROL   UREA CREATININA NOTA : Quien toma CDS o Dióxido de cloro no debe tomar N acetilcisteina Art Pablo Murillas Ortopeda y traumatología Maestría en Rodilla Facebook Pablo Murillas Posalagua Medical Center Honduras 

Binary Class: Critical

Author: GOLD
P: Art Pablo Murillas Ortopeda y traumatología Maestría en Rodilla [225, 234]
P: del dr Pablo A Murillas [141, 146]
P: Dr Pablo Murillas [10, 13]
P: Pablo Murillas Posalagua [235, 238]
V: TODA PERSONA QUE SE VACUNE [153, 158]
V: vacunados [5, 6]
V: los pacientes que se vacunan [78, 83]
V: PACIENTES VACUNADOS [8, 10]
V: PACIENTES VACUNADOS [187, 189]
E: Malestar general [92, 94]
E: Dolor en articulaciones [117, 120]
E: fatiga [128, 129]
E: Tos seca [103, 105]
E: Pérdida del gusto [109, 112]
E: Fiebre [105, 106]
E: sin ganas de hacer cosas [130, 135]
E: Dolor y / o carraspera en garganta [95, 102]
E: Sensación de debilidad [122, 125]
E: Dolor de cabeza [88, 91]
E: cansancio [126, 127]
E: Pérdida del olfato [113, 116]
E: Rinorrea [107, 108]

Author: annotator2
P: Pablo Murillas Ortopeda y traumatología Maestría en Rodilla [226, 234]
P: Dr Pablo Murillas [10, 13]
P: del dr Pablo A Murillas [141, 146]
P: Pablo Murillas [11, 13]
V: PACIENTES VACUNADOS [187, 189]
V: PACIENTES VACUNADOS [8, 10]
V: TODA PERSONA QUE SE VACUNE [153, 158]
V: vacunados [5, 6]
V: los pacientes que se vacunan [78, 83]
E: cansancio [126, 127]
E: Dolor de cabeza [88, 91]
E: Pérdida del olfato [113, 116]
E: Rinorrea [107, 108]
E: Malestar general [92, 94]
E: Tos seca [103, 105]
E: Dolor en articulaciones [117, 120]
E: fatiga [128, 129]
E: Pérdida del gusto [109, 112]
E: Fiebre [105, 106]
E: Dolor y / o carraspera en garganta [95, 102]
E: sin ganas de hacer cosas [130, 135]
E: Sensación de debilidad [122, 125]

Author: annotator1
P: Art Pablo Murillas Ortopeda y traumatología [225, 231]
P: del dr Pablo A Murillas [141, 146]
P: Dr Pablo Murillas [10, 13]
P: Pablo Murillas Posalagua [235, 238]
V: TODA PERSONA QUE SE VACUNE [153, 158]
V: vacunados [5, 6]
V: los pacientes que se vacunan [78, 83]
V: VACUNADOS [9, 10]
V: PACIENTES VACUNADOS [8, 10]
E: Malestar general [92, 94]
E: Dolor en articulaciones [117, 120]
E: fatiga [128, 129]
E: Tos seca [103, 105]
E: Pérdida del gusto [109, 112]
E: Fiebre [105, 106]
E: sin ganas de hacer cosas [130, 135]
E: Dolor y / o carraspera en garganta [95, 102]
E: Sensación de debilidad [122, 125]
E: Dolor de cabeza [88, 91]
E: cansancio [126, 127]
E: Pérdida del olfato [113, 116]
E: Rinorrea [107, 108]

